id	week	date	distance	time
1	1	2024-12-31	04.03	00:27:46
2	1	2025-01-02	04.15	00:27:61
3	1	2025-01-03	03.52	00:25:42
4	1	2025-01-04	05.52	00:36:56
5	1	2025-01-05	07.82	00:47:38
6	2	2025-01-07	06.47	00:39:29
7	2	2025-01-09	06.45	00:40:34
8	2	2025-01-10	06.48	00:39:35
9	2	2025-01-11	07.68	00:46:48
10	2	2025-01-12	07.68	00:46:48
11	3	2025-01-14	07.95	00:46:48
12	3	2025-01-15	07.96	00:48:04
13	3	2025-01-16	07.94	00:47:36
14	3	2025-01-18	08.24	00:48:24
15	3	2025-01-19	09.98	00:59:18
16	4	2025-01-21	07.95	00:45:48
17	4	2025-01-22	07.94	00:47:08
18	4	2025-01-23	07.91	00:48:39
19	4	2025-01-25	07.93	00:48:17
20	4	2025-02-26	09.93	00:55:51
21	5	2025-01-28	07.91	00:50:03
22	5	2025-01-29	07.93	00:46:50
23	5	2025-01-30	07.93	00:46:30
24	5	2025-02-01	09.95	00:55:51
25	5	2025-02-02	10.73	00:59:26
26	6	2025-02-04	05.82	00:45:50
27	6	2025-02-05	09.96	00:58:56
28	6	2025-02-06	07.42	00:47:40
29	6	2025-02-08	09.81	00:59:40
30	6	2025-02-09	12.65	01:29:53
31	7	2025-02-11	07.87	00:46:46
32	7	2025-02-13	09.13	00:53:03
33	7	2025-02-14	06.36	00:40:30
34	7	2025-02-15	08.43	00:52:17
35	7	2025-02-16	12.34	01:19:20
36	8	2025-02-20	07.95	00:47:54
37	8	2025-02-20	10.88	01:03:19
38	8	2025-02-21	06.28	00:37:46
39	9	2025-02-23	13.15	01:24:12
40	9	2025-02-24	8.29	00:50:35
41	9	2025-02-25	7.91	00:49:13
42	9	2025-02-26	10.03	00:59:52
43	9	2025-02-28	7.86	00:46:39
44	9	2025-03-01	8.20	00:48:20
45	10	2025-03-02	12.62	01:17:14
46	10	2025-03-04	8.14	00:45:48
47	10	2025-03-06	10.31	01:00:57
48	10	2025-03-07	8.16	00:48:58
49	10	2025-03-09	9.84	01:00:55
50	11	2025-03-11	4.34	00:26:34
51	11	2025-03-13	7.92	00:48:08
52	11	2025-03-14	4.23	00:26:23
53	11	2025-03-15	7.86	00:46:56
54	11	2025-03-16	17.02	01:44:17
55	12	2025-03-18	8.74	00:46:16
56	12	2025-03-19	10.54	01:00:44
57	12	2025-03-20	7.97	00:45:41
58	12	2025-03-22	10.18	01:02:00
59	12	2025-03-24	7.93	00:50:00
60	13	2025-03-25	7.90	00:46:49
61	13	2025-03-26	10.36	01:02:00
62	13	2025-03-28	6.24	00:39:22
63	13	2025-03-29	10.3	00:59:41
64	14	2025-03-30	16.4	01:40:12
